Designator,Layer,Mid X,Mid Y,Rotation
C1,bottom,321.506,-162.724,180
C2,bottom,335.857,-168.312,0
C3,bottom,330.904,-179.742,0
C4,bottom,317.696,-175.932,90
C5,bottom,317.696,-166.788,-90
C6,bottom,330.523,-158.787,90
C7,bottom,337.762,-176.313,180
C8,bottom,340.81,-172.884,-90
C9,bottom,315.41,-166.788,-90
C10,bottom,328.237,-158.787,90
D1,bottom,52.8375,-98.44375,90
D2,bottom,52.8375,-122.25625,90
D3,bottom,55.21875,-179.40625,90
D4,bottom,57.6,-141.30625,90
D5,bottom,57.6,-199.00625,90
D6,bottom,59.98125,-160.35625,90
D7,bottom,57.6,-126.65625,-90
D8,bottom,62.3625,-183.80625,-90
D9,bottom,67.125,-145.70625,-90
D10,bottom,71.8875,-164.75625,-90
D11,bottom,76.65,-98.44375,90
D12,bottom,76.65,-122.25625,90
D13,bottom,81.4125,-179.40625,90
D14,bottom,86.175,-141.30625,90
D15,bottom,90.9375,-160.35625,90
D16,bottom,90.9375,-199.00625,90
D17,bottom,95.7,-102.84375,-90
D18,bottom,95.7,-126.65625,-90
D19,bottom,100.4625,-183.80625,-90
D20,bottom,105.225,-145.70625,-90
D21,bottom,109.9875,-164.75625,-90
D22,bottom,114.75,-98.44375,90
D23,bottom,114.75,-122.25625,90
D24,bottom,119.5125,-179.40625,90
D25,bottom,124.275,-141.30625,90
D26,bottom,129.0375,-160.35625,90
D27,bottom,133.8,-102.84375,-90
D28,bottom,133.8,-126.65625,-90
D29,bottom,138.5625,-183.80625,-90
D30,bottom,143.325,-145.70625,-90
D31,bottom,148.0875,-164.75625,-90
D32,bottom,152.85,-122.25625,90
D33,bottom,157.6125,-179.40625,90
D34,bottom,162.375,-98.44375,90
D35,bottom,162.375,-141.30625,90
D36,bottom,167.1375,-160.35625,90
D37,bottom,171.9,-126.65625,-90
D38,bottom,171.9,-199.00625,90
D39,bottom,176.6625,-183.80625,-90
D40,bottom,181.425,-102.84375,-90
D41,bottom,181.425,-145.70625,-90
D42,bottom,186.1875,-164.75625,-90
D43,bottom,190.95,-122.25625,90
D44,bottom,195.7125,-179.40625,90
D45,bottom,200.475,-98.44375,90
D46,bottom,200.475,-141.30625,90
D47,bottom,205.2375,-160.35625,90
D48,bottom,210,-126.65625,-90
D49,bottom,214.7625,-183.80625,-90
D50,bottom,219.525,-102.84375,-90
D51,bottom,219.525,-145.70625,-90
D52,bottom,224.2875,-164.75625,-90
D53,bottom,229.05,-122.25625,90
D54,bottom,233.8125,-179.40625,90
D55,bottom,238.575,-141.30625,90
D56,bottom,243.3375,-160.35625,90
D57,bottom,248.1,-102.84375,-90
D58,bottom,248.1,-126.65625,-90
D59,bottom,252.8625,-183.80625,-90
D60,bottom,252.8625,-199.55625,90
D61,bottom,257.625,-145.70625,-90
D62,bottom,262.3875,-164.75625,-90
D63,bottom,267.15,-98.44375,90
D64,bottom,267.15,-122.25625,90
D65,bottom,276.675,-141.30625,90
D66,bottom,281.4375,-160.35625,90
D67,bottom,286.2,-102.84375,-90
D68,bottom,288.58125,-179.40625,90
D69,bottom,295.725,-122.25625,90
D70,bottom,300.4875,-198.45625,90
D71,bottom,312.1625,-158.025,180
D72,bottom,305.25,-98.44375,90
D73,bottom,329.0625,-102.84375,-90
D74,bottom,329.0625,-126.65625,-90
D75,bottom,329.0625,-145.70625,-90
D76,bottom,329.0625,-199.55625,90
D77,bottom,348.1125,-98.44375,90
D78,bottom,348.1125,-122.25625,90
D79,bottom,348.1125,-141.30625,90
D80,bottom,348.1125,-179.40625,90
D81,bottom,348.1125,-198.45625,90
D82,bottom,367.1625,-102.84375,-90
D83,bottom,367.1625,-126.65625,-90
D84,bottom,367.1625,-145.70625,-90
D85,bottom,367.1625,-199.55625,90
F1,bottom,321.85,-96.05,-90
J1,bottom,324.3,-87.89375,0
R1,bottom,327.348,-95.16,180
R2,bottom,327.348,-97.446,0
R3,bottom,335.857,-166.026,0
R4,bottom,325.443,-159.295,-90
R5,bottom,323.157,-159.295,90
R6,bottom,320.617,-179.742,0
SW1,bottom,353.764,-162.851,0
U1,bottom,324.3,-96.05,-90
U2,bottom,326.332,-171.233,-90
Y1,bottom,337.762,-172.884,90
